mendigo	乞丐
congreso	大会
transmisión sexual	性传播
catedrático	教授
microbiología	微生物学
tasa	比率
aviso	警告，通知
en definitiva	总之，归根结底
fundación	基金会
advertencia	警告，警示
bajada	下降
motivado	促成的
tratamiento	治疗
disminución	减少
mortalidad	死亡率
diagnóstico	诊断
concordar con	一致
combatir	斗争，对抗
drogodependencia	毒品依赖
drogadicción	吸毒
heterosexual	异性性关系的
prostitución	卖淫
científico	科学的
irónico	嘲弄的
actitud	态度
tender a 	倾向于
cuestionar	质疑
finalidad	目的
fatalismo	宿命论
tendencia	倾向，趋向
glorificación	赞美
concepto	观念
infundir	引起
abundar	丰富
reemplazar	代替
explosión	爆炸
demográfica	人口的
competitividad	竞争
predominantemente	占主导地位地
gama	范围
finanzas	金融，资金
crisis	危及
perdedor	输家
obligación	债务，义务
tensión	紧张状态
frustrar	使落空，使不能实现
nominal	名义的
contar (con)	拥有
manufacturero	制造业的
crédito	贷款
infraestructura	基础设施
moderación	温和
inyección	注入
caos	混乱
enfoque	考虑，分析
subyacente	潜在的
acudir (a)	利用，求助
proceso	进程
factible	可行的
eliminación	消除
acercamiento	靠近，接近
perjuicio	损害，伤害
globalización	全球化
armonioso	和谐的
multiplicarse	倍增
en vías de desarrollo	发展中的
prosperidad	繁荣
negociación	谈判，协商
mecanismo	机制
acusar	指责
identidad	本体，认同
salvaguardia	维护
discriminación	歧视
justificado	合理的，正当的
multilateral	多边的
basarse en	基于
foro	舞台，论坛
promover	推动，促进
inflación	通货膨胀
dar lugar a	产生
elevación	增高，增加
coste	成本
empresario	企业主
mención	提及
materia prima	原材料
en gran medida	大量地
petróleo	石油
traspasar	转嫁
elaborado	经过加工的
ciclo	周期，循环
margen	空间，余地
beneficio	利益，利润
estructural	结构的
monetario	货币的
fiscal	财政的
impuesto	赋税
guisado	菜肴
votación	投票
llanta	轮圈
ponchado	扎破的
pinchado	扎破的
lo que se le antoja	为所欲为
egocéntrico	自我为中心的
prepotente	盛气凌人的
vulnerable	脆弱的
varón	男性，男人
proveedor	供给者
mimar	宠爱
estadística	统计
virilidad	男子气概
malintencionado	不怀好意的
reproche	指责
pasajero	暂时的
recurrir (a)	借助
remediar	补救，挽救
manojo de nervios	极为不安
avispada	精灵的，精明的
circunferencia	圆周
geógrafo	地理学家
esférico	球形的
circunnavegar	环…航行
náutico	航海的
estrecho	海峡
disputarse	争夺
expedición	远征
meridiano	经线
asignar	分配
en potencia	潜在的
con precisión	准确地
explorar	探索，勘探
impreciso	不准确的
fantástico	幻想的
escala	停留，中途站
avituallamiento	给养供应
tosco	简装的
quebrantar	毁灭
emblemático	标志性的
prestigio	声望，声誉
incontenible	无法阻止的
disparar	扩散
parte médico	诊断报告
síndrome	综合征
confirmar	证实
diagnosticar	诊断
fragmentario	碎片的，不完整的
seno	内部，胸膛
oligarquía	寡头政治
ascendiente	祖先（父母，祖父母）
descendiente	后代
monja	修女
ingresar	进入，入学
internado	寄宿制学校
inclinación	喜好，爱好
vocación	爱好，天资
fraguar	制作，炮制
honroso	荣誉的
mención especial	表彰
miserable	贫困的，悲惨的
limeño	利马的
consagrar	确认，使成为
mordaz	辛辣的
evidenciar	表明，证实
hipocresía	虚伪
racismo	种族主义
autobiográfico	自传体的
intuitivo	直觉的
adinerado	有钱的
adolescencia	少年期
alterado	被扰乱的
alertar	警告，提醒
formación	队列，编队
pólvora	火药
frenético	疯狂的
caldero	被扰乱的
vigilancia	警戒，坚实
entretanto	那时
fiereza	凶猛
repeler	击退
asalto	进攻
entereza	坚毅，沉着
admirable	令人钦佩的
asedio	包围
minado	逐渐衰弱的
rebeldía	反抗
ejecutar	处死
abatido	沮丧的
compasión	同情，怜悯
inflexible	不动摇的
lealtad	忠诚
osezno	熊仔
arrebatar	抢夺
extraviarse	迷路
perecer	死亡
cobarde	懦夫，胆小鬼
proverbio	谚语
penetrar(en)	进入
zar	沙皇
vagar	流浪
acomodador	引座员
bingo	一种博彩的场所
subsidio	补助，津贴
chapuza	临时工作
embolsarse	赚取，挣得
tirar	勉强度日
próspero	兴旺的
cinta transportadora	传送带
a propósito	故意地
remendado	缝补过的
boquiabierto	目瞪口呆的
neceser	盥洗包
arrugado	皱的
nostalgia	怀念
hallazgo	找到的物品
arrepentirse	后悔
flamante	崭新的
identificar	辨别出，识别
locutor	播音员
eufórico	愉快的
